date,amount,merchant,category,description
2026-01-01,5000.00,Employer Payroll,Income,Monthly salary
2026-01-02,-52.34,Whole Foods Market,Groceries,Weekly groceries
2026-01-04,-14.50,Starbucks,Dining,Coffee
2026-01-05,-15.99,Netflix,Subscriptions,Monthly plan
2026-01-06,-45.00,Shell Gas Station,Transportation,Gas fill-up
2026-01-07,-38.20,Chipotle,Dining,Dinner
2026-01-08,-9.99,Spotify,Subscriptions,Premium plan
2026-01-09,-64.10,Whole Foods Market,Groceries,Weekly groceries
2026-01-10,-22.50,Uber,Transportation,Ride to airport
2026-01-11,-850.00,Apple Store,Shopping,MacBook accessories
2026-01-12,-49.99,LA Fitness,Subscriptions,Gym monthly
2026-01-13,-18.30,Panera Bread,Dining,Lunch
2026-01-14,-48.20,Whole Foods Market,Groceries,Weekly groceries
2026-01-15,-120.00,Comcast,Utilities,Internet + cable
2026-01-16,-85.00,PG&E,Utilities,Electric bill
2026-01-17,-32.00,AMC Theaters,Entertainment,Movie night
2026-01-18,-28.50,Lyft,Transportation,Weekend ride
2026-01-19,-55.75,Whole Foods Market,Groceries,Weekly groceries
2026-01-20,-42.00,The Cheesecake Factory,Dining,Dinner with friends
2026-01-21,-14.99,Disney+,Subscriptions,Monthly plan
2026-01-22,-67.80,CVS Pharmacy,Healthcare,Prescriptions
2026-01-23,-44.00,Shell Gas Station,Transportation,Gas
2026-01-25,-29.99,Amazon,Shopping,Books
2026-01-26,-12.00,Dunkin Donuts,Dining,Coffee and bagel
2026-01-27,-58.40,Whole Foods Market,Groceries,Weekly groceries
2026-01-28,-95.00,AT&T,Utilities,Phone bill
2026-01-30,-21.50,Uber,Transportation,Grocery run

2026-02-01,5000.00,Employer Payroll,Income,Monthly salary
2026-02-01,-49.99,LA Fitness,Subscriptions,Gym monthly
2026-02-03,-61.20,Trader Joe's,Groceries,Weekly groceries
2026-02-05,-15.99,Netflix,Subscriptions,Monthly plan
2026-02-06,-9.99,Spotify,Subscriptions,Premium plan
2026-02-07,-38.00,Shell Gas Station,Transportation,Gas fill-up
2026-02-08,-55.30,Whole Foods Market,Groceries,Weekly groceries
2026-02-09,-24.00,Sushi Roll,Dining,Date night
2026-02-10,-19.50,Starbucks,Dining,Coffee
2026-02-12,-14.99,Disney+,Subscriptions,Monthly plan
2026-02-13,-47.80,Whole Foods Market,Groceries,Weekly groceries
2026-02-14,-125.00,Morton's Steakhouse,Dining,Valentine's Day dinner
2026-02-15,-110.00,Comcast,Utilities,Internet + cable
2026-02-16,-78.50,PG&E,Utilities,Electric bill
2026-02-18,-16.00,AMC Theaters,Entertainment,Movie
2026-02-19,-35.00,Lyft,Transportation,Rides
2026-02-20,-62.10,Whole Foods Market,Groceries,Weekly groceries
2026-02-22,-89.00,CVS Pharmacy,Healthcare,Meds and supplies
2026-02-23,-42.00,Shell Gas Station,Transportation,Gas
2026-02-24,-199.00,Nike,Shopping,Running shoes
2026-02-25,-11.50,Panera Bread,Dining,Lunch
2026-02-26,-54.90,Trader Joe's,Groceries,Weekly groceries
2026-02-27,-92.00,AT&T,Utilities,Phone bill
2026-02-28,-18.00,Uber Eats,Dining,Takeout delivery

2026-03-01,5000.00,Employer Payroll,Income,Monthly salary
2026-03-01,-49.99,LA Fitness,Subscriptions,Gym monthly
2026-03-02,-60.50,Whole Foods Market,Groceries,Weekly groceries
2026-03-04,-14.50,Starbucks,Dining,Morning coffee
2026-03-05,-15.99,Netflix,Subscriptions,Monthly plan
2026-03-06,-9.99,Spotify,Subscriptions,Premium plan
2026-03-07,-44.00,Shell Gas Station,Transportation,Gas
2026-03-08,-72.30,Whole Foods Market,Groceries,Weekly groceries
2026-03-10,-31.00,Chipotle,Dining,Lunch
2026-03-11,-14.99,Disney+,Subscriptions,Monthly plan
2026-03-12,-49.60,Whole Foods Market,Groceries,Weekly groceries
2026-03-14,-130.00,Comcast,Utilities,Internet + cable
2026-03-15,-82.00,PG&E,Utilities,Electric bill
2026-03-16,-245.00,Delta Airlines,Transportation,Weekend trip flight
2026-03-18,-55.00,Marriott Hotel,Entertainment,One-night stay
2026-03-19,-38.20,Lyft,Transportation,Rides
2026-03-20,-66.40,Trader Joe's,Groceries,Weekly groceries
2026-03-21,-22.00,Starbucks,Dining,Coffee x2
2026-03-22,-29.99,Steam,Entertainment,PC game
2026-03-23,-58.00,Shell Gas Station,Transportation,Gas
2026-03-25,-48.90,Whole Foods Market,Groceries,Weekly groceries
2026-03-26,-95.00,AT&T,Utilities,Phone bill
2026-03-27,-14.00,Dunkin Donuts,Dining,Coffee and muffin
2026-03-28,-35.00,Amazon,Shopping,Household items
2026-03-29,-23.50,Uber,Transportation,Ride to airport

2026-04-01,5000.00,Employer Payroll,Income,Monthly salary
2026-04-01,-49.99,LA Fitness,Subscriptions,Gym monthly
2026-04-02,-68.20,Whole Foods Market,Groceries,Weekly groceries
2026-04-04,-15.99,Netflix,Subscriptions,Monthly plan
2026-04-05,-9.99,Spotify,Subscriptions,Premium plan
2026-04-06,-14.99,Disney+,Subscriptions,Monthly plan
2026-04-07,-47.50,Shell Gas Station,Transportation,Gas
2026-04-08,-1250.00,Best Buy,Shopping,New laptop for work
2026-04-09,-55.70,Trader Joe's,Groceries,Weekly groceries
2026-04-10,-34.00,The Cheesecake Factory,Dining,Dinner
2026-04-12,-63.80,Whole Foods Market,Groceries,Weekly groceries
2026-04-14,-115.00,Comcast,Utilities,Internet + cable
2026-04-15,-79.00,PG&E,Utilities,Electric bill
2026-04-16,-28.00,AMC Theaters,Entertainment,Movie
2026-04-17,-40.00,Lyft,Transportation,Weekend rides
2026-04-19,-71.40,Whole Foods Market,Groceries,Weekly groceries
2026-04-20,-18.50,Panera Bread,Dining,Lunch
2026-04-22,-89.00,CVS Pharmacy,Healthcare,Annual meds refill
2026-04-23,-44.00,Shell Gas Station,Transportation,Gas
2026-04-24,-52.00,Etsy,Shopping,Birthday gift
2026-04-25,-60.30,Trader Joe's,Groceries,Weekly groceries
2026-04-26,-92.00,AT&T,Utilities,Phone bill
2026-04-27,-22.00,Uber,Transportation,Ride
2026-04-28,-15.00,Starbucks,Dining,Coffee

2026-05-01,5000.00,Employer Payroll,Income,Monthly salary
2026-05-01,-49.99,LA Fitness,Subscriptions,Gym monthly
2026-05-02,-64.10,Whole Foods Market,Groceries,Weekly groceries
2026-05-04,-14.50,Starbucks,Dining,Morning coffee
2026-05-05,-15.99,Netflix,Subscriptions,Monthly plan
2026-05-06,-9.99,Spotify,Subscriptions,Premium plan
2026-05-07,-14.99,Disney+,Subscriptions,Monthly plan
2026-05-08,-46.00,Shell Gas Station,Transportation,Gas
2026-05-09,-39.50,Chipotle,Dining,Lunch + drinks
2026-05-10,-70.60,Trader Joe's,Groceries,Weekly groceries
2026-05-12,-59.80,Whole Foods Market,Groceries,Weekly groceries
2026-05-14,-125.00,Comcast,Utilities,Internet + cable
2026-05-15,-81.50,PG&E,Utilities,Electric bill
2026-05-16,-299.00,Ticketmaster,Entertainment,Concert tickets
2026-05-17,-35.00,Lyft,Transportation,Weekend rides
2026-05-18,-28.00,Sushi Place,Dining,Dinner
2026-05-19,-65.20,Whole Foods Market,Groceries,Weekly groceries
2026-05-21,-42.00,Shell Gas Station,Transportation,Gas
2026-05-22,-15.00,Dunkin Donuts,Dining,Coffee run
2026-05-23,-78.00,CVS Pharmacy,Healthcare,Allergy meds
2026-05-24,-58.40,Trader Joe's,Groceries,Weekly groceries
2026-05-25,-92.00,AT&T,Utilities,Phone bill
2026-05-26,-19.50,Uber,Transportation,Ride
2026-05-27,-44.99,Amazon,Shopping,Household items
2026-05-30,-67.80,Whole Foods Market,Groceries,Weekly groceries

2026-06-01,5000.00,Employer Payroll,Income,Monthly salary
2026-06-01,-49.99,LA Fitness,Subscriptions,Gym monthly
2026-06-02,-69.30,Whole Foods Market,Groceries,Weekly groceries
2026-06-04,-15.99,Netflix,Subscriptions,Monthly plan
2026-06-05,-9.99,Spotify,Subscriptions,Premium plan
2026-06-06,-14.99,Disney+,Subscriptions,Monthly plan
2026-06-07,-48.00,Shell Gas Station,Transportation,Gas
2026-06-08,-35.00,Chipotle,Dining,Lunch
2026-06-09,-72.10,Trader Joe's,Groceries,Weekly groceries
2026-06-10,-14.50,Starbucks,Dining,Coffee
2026-06-11,-14.99,LA Fitness,Subscriptions,Gym monthly
2026-06-12,-63.40,Whole Foods Market,Groceries,Weekly groceries
2026-06-14,-120.00,Comcast,Utilities,Internet + cable
2026-06-15,-83.00,PG&E,Utilities,Electric bill
2026-06-16,-22.00,AMC Theaters,Entertainment,Movie
2026-06-17,-38.00,Lyft,Transportation,Weekend
2026-06-18,-59.70,Whole Foods Market,Groceries,Weekly groceries
2026-06-20,-43.00,Shell Gas Station,Transportation,Gas
2026-06-21,-25.00,Starbucks,Dining,Team coffee
2026-06-23,-95.00,AT&T,Utilities,Phone bill
2026-06-24,-31.50,Uber Eats,Dining,Takeout
2026-06-25,-66.80,Trader Joe's,Groceries,Weekly groceries
2026-06-26,-18.00,Panera Bread,Dining,Lunch
